,"CALIBRACIONES TECNICAS DE MEXICO, S.A. DE C.V.",,,,,,,
,"SERVICIO DE MANTENIMIENTO, CALIBRACION Y EVALUACION DE EQUIPOS ANALITICOS.",,,,,,,
,R.F.C.:  CTM-050602-332,,,,,,,
,REGISTRO  DE  COTIZACIONES    ~    2024,,,,,,,
,,,,,,No. de folio:,,
CLAVE COTIZACION,EMPRESA           (CLIENTE),FECHA DE ENVIO,DESCRIPCION,CONTACTO,IMPORTE COTIZADO,RESULTADO,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,Emisión:   2020-06-30                        Rev.  03,,
